Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2021-03-20,58313.64453125,60031.28515625,58213.296875,58332.26171875,50361731222
2021-03-21,57523.421875,58767.8984375,56005.6171875,58309.9140625,51943414539
2021-03-22,54529.14453125,58471.48046875,54288.15625,57517.890625,56521454974
2021-03-23,54738.9453125,55985.44140625,53470.6953125,54511.66015625,56435023914
2021-03-24,52774.265625,57262.3828125,52514.33203125,54710.48828125,70567223787
2021-03-25,51704.16015625,53392.38671875,50856.5703125,52726.74609375,67999812841
2021-03-26,55137.3125,55137.3125,51579.85546875,51683.01171875,56652197978
2021-03-27,55973.51171875,56568.21484375,54242.91015625,55137.56640625,47266542233
2021-03-28,55950.74609375,56610.3125,55071.11328125,55974.94140625,47686580918
2021-03-29,57750.19921875,58342.09765625,55139.33984375,55947.8984375,57625587027
2021-03-30,58917.69140625,59447.22265625,57251.55078125,57750.1328125,54414116432
2021-03-31,58918.83203125,59930.02734375,57726.41796875,58930.27734375,65520826225
2021-04-01,59095.80859375,59586.0703125,58505.27734375,58926.5625,61669163792
2021-04-02,59384.3125,60267.1875,58869.28125,59098.87890625,58727860620
2021-04-03,57603.890625,60110.26953125,57603.890625,59397.41015625,59641344484
2021-04-04,58758.5546875,58913.74609375,57168.67578125,57604.83984375,50749662970
2021-04-05,59057.87890625,59891.296875,57694.82421875,58760.875,60706272115
2021-04-06,58192.359375,59479.578125,57646.80859375,59171.93359375,66058027988
2021-04-07,56048.9375,58731.14453125,55604.0234375,58186.5078125,75645303584
2021-04-08,58323.953125,58338.73828125,55879.0859375,56099.9140625,53053855641
2021-04-09,58245.00390625,58937.046875,57807.86328125,58326.5625,46655208546
2021-04-10,59793.234375,61276.6640625,58038.70703125,58253.77734375,58238470525
2021-04-11,60204.96484375,60790.5546875,59289.796875,59846.23046875,46280252580
2021-04-12,59893.453125,61253.03515625,59589.875,60175.9453125,51828688519
2021-04-13,63503.45703125,63742.28515625,59869.95703125,59890.01953125,69983454362
2021-04-14,63109.6953125,64863.09765625,61554.796875,63523.75390625,77451779687
2021-04-15,63314.01171875,63821.671875,62208.96484375,63075.1953125,60954381579
2021-04-16,61572.7890625,63594.72265625,60222.53125,63258.50390625,84293007468
2021-04-17,60683.8203125,62572.17578125,60361.3515625,61529.921875,66138759198
2021-04-18,56216.18359375,61057.45703125,52829.53515625,60701.88671875,97468872758
2021-04-19,55724.265625,57520.0546875,54368.59375,56191.5859375,65344865159
2021-04-20,56473.03125,57062.1484375,53448.046875,55681.79296875,67849323955
2021-04-21,53906.08984375,56757.97265625,53695.46875,56471.12890625,54926612466
2021-04-22,51762.2734375,55410.23046875,50583.8125,53857.10546875,74798630778
2021-04-23,51093.65234375,52120.79296875,47714.6640625,51739.80859375,86668667320
2021-04-24,50050.8671875,51167.5625,48805.28515625,51143.2265625,49014494781
2021-04-25,49004.25390625,50506.01953125,47159.484375,50052.83203125,46117114240
2021-04-26,54021.75390625,54288.00390625,48852.796875,49077.79296875,58284039825
2021-04-27,55033.1171875,55416.96484375,53319.1875,54030.3046875,49448222757
2021-04-28,54824.703125,56227.20703125,53887.91796875,55036.63671875,48000572955
2021-04-29,53555.109375,55115.84375,52418.02734375,54858.08984375,46088929780
2021-04-30,57750.17578125,57900.71875,53129.6015625,53568.6640625,52395931985
2021-05-01,57828.05078125,58448.33984375,57052.2734375,57714.6640625,42836427360
2021-05-02,56631.078125,57902.59375,56141.90625,57825.86328125,38177405335
2021-05-03,57200.29296875,58973.30859375,56590.87109375,56620.2734375,51713139031
2021-05-04,53333.5390625,57214.1796875,53191.42578125,57214.1796875,68564706967
2021-05-05,57424.0078125,57911.36328125,52969.0546875,53252.1640625,69241316747
2021-05-06,56396.515625,58363.31640625,55382.5078125,57441.30859375,69523285106
2021-05-07,57356.40234375,58606.6328125,55321.84765625,56413.953125,68434023376
2021-05-08,58803.77734375,59464.61328125,56975.2109375,57352.765625,65382980634
2021-05-09,58232.31640625,59210.8828125,56482.00390625,58877.390625,65906690347
2021-05-10,55859.796875,59519.35546875,54071.45703125,58250.87109375,71776546298
2021-05-11,56704.57421875,56872.54296875,54608.65234375,55847.2421875,61308396325
2021-05-12,49150.53515625,57939.36328125,49150.53515625,56714.53125,75215403907
2021-05-13,49716.19140625,51330.84375,46980.01953125,49735.43359375,96721152926
2021-05-14,49880.53515625,51438.1171875,48868.578125,49682.98046875,55737497453
2021-05-15,46760.1875,50639.6640625,46664.140625,49855.49609375,59161047474
2021-05-16,46456.05859375,49720.04296875,43963.3515625,46716.63671875,64047871555
2021-05-17,43537.51171875,46623.55859375,42207.2890625,46415.8984375,74903638450
2021-05-18,42909.40234375,45812.45703125,42367.83203125,43488.05859375,56187365084
