date,btc_close,eth_close,sp500_close,dxy_close,gold_close,active_addresses,interest_rate,bitcoin,fear_greed,btc_logret,btc_rsi14
2020-04-12,,,,,,474445.0,0.05,99.0,10.0,,
2020-04-13,,,,,,474445.0,0.05,99.0,11.0,,
2020-04-14,,,,,,474445.0,0.05,99.0,15.0,,
2020-04-15,,,,,,612959.0,0.05,99.0,18.0,,
2020-04-16,,,,,,612959.0,0.05,99.0,13.0,,
2020-04-17,,,,,,612959.0,0.05,99.0,15.0,,
2020-04-18,,,,,,612959.0,0.05,99.0,18.0,,
2020-04-19,,,,,,485888.0,0.05,99.0,16.0,,
2020-04-20,,,,,,485888.0,0.05,99.0,15.0,,
2020-04-21,,,,,,485888.0,0.05,99.0,17.0,,
2020-04-22,,,,,,485888.0,0.05,99.0,19.0,,
2020-04-23,,,,,,666919.0,0.05,99.0,19.0,,
2020-04-24,,,,,,666919.0,0.05,99.0,20.0,,
2020-04-25,,,,,,666919.0,0.05,99.0,24.0,,
2020-04-26,,,,,,666919.0,0.05,99.0,21.0,,
2020-04-27,,,,,,629817.0,0.05,99.0,28.0,,
2020-04-28,,,,,,629817.0,0.05,99.0,26.0,,
2020-04-29,,,,,,629817.0,0.05,99.0,26.0,,
2020-04-30,,,,,,629817.0,0.05,99.0,44.0,,
2020-05-01,,,,,,680654.0,0.05,99.0,40.0,,
2020-05-02,,,,,,680654.0,0.05,99.0,40.0,,
2020-05-03,,,,,,680654.0,0.05,99.0,45.0,,
2020-05-04,,,,,,680654.0,0.05,99.0,44.0,,
2020-05-05,,,,,,652289.0,0.05,99.0,40.0,,
2020-05-06,,,,,,652289.0,0.05,99.0,42.0,,
2020-05-07,,,,,,652289.0,0.05,99.0,49.0,,
2020-05-08,,,,,,652289.0,0.05,99.0,55.0,,
2020-05-09,,,,,,631542.0,0.05,99.0,56.0,,
2020-05-10,,,,,,631542.0,0.05,99.0,48.0,,
2020-05-11,,,,,,631542.0,0.05,99.0,40.0,,
2020-05-12,,,,,,631542.0,0.05,99.0,39.0,,
2020-05-13,,,,,,619855.0,0.05,99.0,41.0,,
2020-05-14,,,,,,619855.0,0.05,99.0,40.0,,
2020-05-15,,,,,,619855.0,0.05,99.0,44.0,,
2020-05-16,,,,,,619855.0,0.05,99.0,41.0,,
2020-05-17,,,,,,495954.0,0.05,99.0,40.0,,
2020-05-18,,,,,,495954.0,0.05,99.0,50.0,,
2020-05-19,,,,,,495954.0,0.05,99.0,50.0,,
2020-05-20,,,,,,495954.0,0.05,99.0,52.0,,
2020-05-21,,,,,,624412.0,0.05,99.0,49.0,,
2020-05-22,,,,,,624412.0,0.05,99.0,42.0,,
2020-05-23,,,,,,624412.0,0.05,99.0,40.0,,
2020-05-24,,,,,,624412.0,0.05,99.0,43.0,,
2020-05-25,,,,,,624412.0,0.05,99.0,41.0,,
2020-05-26,,,,,,605213.0,0.05,99.0,39.0,,
2020-05-27,,,,,,605213.0,0.05,99.0,39.0,,
2020-05-28,,,,,,605213.0,0.05,99.0,41.0,,
2020-05-29,,,,,,605213.0,0.05,99.0,48.0,,
2020-05-30,,,,,,556912.0,0.05,99.0,48.0,,
2020-05-31,,,,,,556912.0,0.05,99.0,51.0,,
2020-06-01,,,,,,556912.0,0.05,99.0,50.0,,
2020-06-02,,,,,,556912.0,0.05,99.0,56.0,,
2020-06-03,,,,,,646746.0,0.05,99.0,48.0,,
2020-06-04,,,,,,646746.0,0.05,99.0,54.0,,
2020-06-05,,,,,,646746.0,0.05,99.0,53.0,,
2020-06-06,,,,,,646746.0,0.05,99.0,54.0,,
2020-06-07,,,,,,487527.0,0.05,99.0,54.0,,
2020-06-08,,,,,,487527.0,0.05,99.0,53.0,,
2020-06-09,,,,,,487527.0,0.05,99.0,52.0,,
2020-06-10,,,,,,487527.0,0.05,99.0,54.0,,
2020-06-11,,,,,,673800.0,0.05,99.0,52.0,,
2020-06-12,,,,,,673800.0,0.05,99.0,38.0,,
2020-06-13,,,,,,673800.0,0.05,99.0,38.0,,
2020-06-14,,,,,,673800.0,0.05,99.0,40.0,,
2020-06-15,,,,,,606713.0,0.05,99.0,37.0,,
2020-06-16,,,,,,606713.0,0.05,99.0,39.0,,
2020-06-17,,,,,,606713.0,0.05,99.0,38.0,,
2020-06-18,,,,,,606713.0,0.05,99.0,40.0,,
2020-06-19,,,,,,674050.0,0.05,99.0,39.0,,
2020-06-20,,,,,,674050.0,0.05,99.0,38.0,,
2020-06-21,,,,,,674050.0,0.05,99.0,37.0,,
2020-06-22,,,,,,674050.0,0.05,99.0,38.0,,
2020-06-23,,,,,,704215.0,0.05,99.0,41.0,,
2020-06-24,,,,,,704215.0,0.05,99.0,50.0,,
2020-06-25,,,,,,704215.0,0.05,99.0,43.0,,
2020-06-26,,,,,,704215.0,0.05,99.0,40.0,,
2020-06-27,,,,,,546558.0,0.05,99.0,43.0,,
2020-06-28,,,,,,546558.0,0.05,99.0,40.0,,
2020-06-29,,,,,,546558.0,0.05,99.0,41.0,,
2020-06-30,,,,,,546558.0,0.05,99.0,44.0,,
2020-07-01,,,,,,758469.0,0.05,99.0,42.0,,
2020-07-02,,,,,,758469.0,0.05,99.0,42.0,,
2020-07-03,,,,,,758469.0,0.05,99.0,41.0,,
2020-07-04,,,,,,758469.0,0.05,99.0,40.0,,
2020-07-05,,,,,,509206.0,0.05,99.0,38.0,,
2020-07-06,,,,,,509206.0,0.05,99.0,40.0,,
2020-07-07,,,,,,509206.0,0.05,99.0,43.0,,
2020-07-08,,,,,,509206.0,0.05,99.0,44.0,,
2020-07-09,,,,,,708162.0,0.05,99.0,44.0,,
2020-07-10,,,,,,708162.0,0.05,99.0,41.0,,
2020-07-11,,,,,,708162.0,0.05,99.0,44.0,,
2020-07-12,,,,,,708162.0,0.05,99.0,41.0,,
2020-07-13,,,,,,638906.0,0.05,99.0,43.0,,
2020-07-14,,,,,,638906.0,0.05,99.0,43.0,,
2020-07-15,,,,,,638906.0,0.05,99.0,44.0,,
2020-07-16,,,,,,638906.0,0.05,99.0,43.0,,
2020-07-17,,,,,,629600.0,0.05,99.0,41.0,,
2020-07-18,,,,,,629600.0,0.05,99.0,44.0,,
2020-07-19,,,,,,629600.0,0.05,99.0,41.0,,
2020-07-20,,,,,,629600.0,0.05,99.0,44.0,,
2020-07-21,,,,,,660884.0,0.05,99.0,44.0,,
2020-07-22,,,,,,660884.0,0.05,99.0,50.0,,
2020-07-23,,,,,,660884.0,0.05,99.0,55.0,,
2020-07-24,,,,,,660884.0,0.05,99.0,53.0,,
2020-07-25,,,,,,619497.0,0.05,99.0,55.0,,
2020-07-26,,,,,,619497.0,0.05,99.0,55.0,,
2020-07-27,,,,,,619497.0,0.05,99.0,58.0,,
2020-07-28,,,,,,619497.0,0.05,99.0,76.0,,
2020-07-29,,,,,,717842.0,0.05,99.0,71.0,,
2020-07-30,,,,,,717842.0,0.05,99.0,76.0,,
